file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
0.000000e+000,2.382406e-004,-7.245969e+001
1.250000e+000,2.413190e-004,-7.234817e+001
2.500000e+000,2.665197e-008,-1.514854e+002
3.750000e+000,4.158694e-008,-1.476209e+002
5.000000e+000,7.979478e-008,-1.419605e+002
6.250000e+000,2.742536e-009,-1.712370e+002
7.500000e+000,8.215601e-007,-1.217072e+002
8.750000e+000,5.648497e-006,-1.049613e+002
1.000000e+001,2.545720e-006,-1.118838e+002
1.125000e+001,6.043165e-006,-1.043747e+002
1.250000e+001,1.230078e-005,-9.820135e+001
1.375000e+001,1.881861e-006,-1.145082e+002
1.500000e+001,6.879825e-006,-1.032485e+002
1.625000e+001,3.970500e-005,-8.802310e+001
1.750000e+001,3.732892e-005,-8.855909e+001
1.875000e+001,8.458000e-006,-1.014546e+002
2.000000e+001,7.129409e-006,-1.029389e+002
2.125000e+001,1.454022e-006,-1.167486e+002
2.250000e+001,4.522602e-006,-1.068922e+002
2.375000e+001,1.777663e-006,-1.150030e+002
2.500000e+001,9.513049e-006,-1.004336e+002
2.625000e+001,2.562056e-005,-9.182823e+001
2.750000e+001,7.726913e-009,-1.622399e+002
2.875000e+001,4.475495e-005,-8.698318e+001
3.000000e+001,5.800579e-005,-8.473057e+001
3.125000e+001,6.461408e-006,-1.037935e+002
3.250000e+001,1.083429e-008,-1.593040e+002
3.375000e+001,3.867649e-006,-1.082511e+002
3.500000e+001,9.651490e-006,-1.003081e+002
3.625000e+001,2.207968e-006,-1.131201e+002
3.750000e+001,5.510728e-008,-1.451758e+002
3.875000e+001,1.191884e-007,-1.384753e+002
4.000000e+001,6.263760e-006,-1.040633e+002
4.125000e+001,4.632785e-006,-1.066832e+002
4.250000e+001,4.383752e-007,-1.271631e+002
4.375000e+001,4.309006e-006,-1.073125e+002
4.500000e+001,3.142190e-006,-1.100554e+002
4.625000e+001,2.889378e-006,-1.107839e+002
4.750000e+001,2.436121e-006,-1.122660e+002
4.875000e+001,2.921075e-006,-1.106891e+002
5.000000e+001,6.435663e-006,-1.038281e+002
5.125000e+001,1.513119e-006,-1.164025e+002
5.250000e+001,1.530444e-007,-1.363037e+002
5.375000e+001,1.836467e-006,-1.147203e+002
5.500000e+001,2.208603e-006,-1.131176e+002
5.625000e+001,5.985032e-007,-1.244587e+002
5.750000e+001,1.255307e-006,-1.180250e+002
5.875000e+001,2.812689e-006,-1.110176e+002
6.000000e+001,7.034415e-006,-1.030554e+002
6.125000e+001,2.986159e-006,-1.104977e+002
6.250000e+001,1.963254e-006,-1.141405e+002
6.375000e+001,7.194717e-007,-1.228597e+002
6.500000e+001,3.312221e-007,-1.295976e+002
6.625000e+001,2.518700e-007,-1.319765e+002
6.750000e+001,7.787402e-007,-1.221721e+002
6.875000e+001,8.372161e-007,-1.215432e+002
7.000000e+001,3.554177e-007,-1.289852e+002
7.125000e+001,7.863284e-008,-1.420879e+002
7.250000e+001,5.428168e-007,-1.253069e+002
7.375000e+001,4.423705e-007,-1.270843e+002
7.500000e+001,2.921543e-006,-1.106878e+002
7.625000e+001,5.794229e-006,-1.047401e+002
7.750000e+001,2.396556e-006,-1.124082e+002
7.875000e+001,2.032235e-008,-1.538405e+002
8.000000e+001,1.159052e-006,-1.187179e+002
8.125000e+001,7.513063e-007,-1.224837e+002
8.250000e+001,3.546496e-008,-1.490040e+002
8.375000e+001,4.148684e-007,-1.276418e+002
8.500000e+001,6.250573e-007,-1.240816e+002
8.625000e+001,3.684257e-007,-1.286730e+002
8.750000e+001,6.938906e-007,-1.231742e+002
8.875000e+001,1.598569e-006,-1.159254e+002
9.000000e+001,2.050414e-006,-1.137632e+002
9.125000e+001,5.123927e-007,-1.258079e+002
9.250000e+001,5.811522e-007,-1.247142e+002
9.375000e+001,2.205846e-006,-1.131285e+002
9.500000e+001,1.658155e-006,-1.156075e+002
9.625000e+001,1.153191e-007,-1.387620e+002
9.750000e+001,4.508868e-007,-1.269186e+002
9.875000e+001,2.993096e-007,-1.304776e+002
1.000000e+002,1.279766e-008,-1.578574e+002
1.012500e+002,3.862882e-007,-1.282618e+002
1.025000e+002,6.761789e-007,-1.233988e+002
1.037500e+002,5.437313e-009,-1.652923e+002
1.050000e+002,1.145366e-006,-1.188211e+002
1.062500e+002,3.139560e-004,-7.006263e+001
1.075000e+002,7.666558e-004,-6.230799e+001
1.087500e+002,1.031998e-004,-7.972642e+001
1.100000e+002,2.212202e-006,-1.131035e+002
1.112500e+002,3.808395e-006,-1.083852e+002
1.125000e+002,2.878862e-006,-1.108156e+002
1.137500e+002,5.188078e-007,-1.256999e+002
1.150000e+002,9.740947e-007,-1.202280e+002
1.162500e+002,1.027083e-005,-9.976789e+001
1.175000e+002,2.015093e-006,-1.139141e+002
1.187500e+002,7.437555e-005,-8.257140e+001
1.200000e+002,9.251595e-005,-8.067567e+001
1.212500e+002,8.367070e-006,-1.015485e+002
1.225000e+002,1.527573e-008,-1.563200e+002
1.237500e+002,4.969390e-007,-1.260739e+002
1.250000e+002,2.299518e-006,-1.127673e+002
1.262500e+002,2.017239e-006,-1.139049e+002
1.275000e+002,1.112753e-006,-1.190720e+002
1.287500e+002,2.065717e-006,-1.136986e+002
1.300000e+002,1.085336e-006,-1.192887e+002
1.312500e+002,2.453763e-007,-1.322033e+002
1.325000e+002,9.333892e-007,-1.205987e+002
1.337500e+002,7.612854e-006,-1.023690e+002
1.350000e+002,1.287283e-006,-1.178065e+002
1.362500e+002,3.761278e-006,-1.084933e+002
1.375000e+002,3.112434e-007,-1.301380e+002
1.387500e+002,1.333336e-006,-1.175012e+002
1.400000e+002,2.762921e-006,-1.111726e+002
1.412500e+002,7.031380e-006,-1.030592e+002
