file name,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Overall
x_unit,
y_unit,g
unit,g
db_ref,1.000000e+000
detection,rms
data
record,rpm,value,value(dB),time,alarm,note
1,0.000000e+000,1.637300e-002,-3.571743e+001,2020-06-23T17:02:12.204000,Normal,
2,0.000000e+000,1.653687e-002,-3.563093e+001,2020-06-23T17:02:12.254000,Normal,
3,0.000000e+000,1.653687e-002,-3.563093e+001,2020-06-23T17:02:12.304000,Normal,
4,0.000000e+000,1.655351e-002,-3.562220e+001,2020-06-23T17:02:12.354000,Normal,
5,0.000000e+000,1.655351e-002,-3.562220e+001,2020-06-23T17:02:12.404000,Normal,
6,0.000000e+000,1.643491e-002,-3.568465e+001,2020-06-23T17:02:12.454000,Normal,
7,0.000000e+000,1.643491e-002,-3.568465e+001,2020-06-23T17:02:12.504000,Normal,
8,0.000000e+000,1.631849e-002,-3.574640e+001,2020-06-23T17:02:12.554000,Normal,
9,0.000000e+000,1.631849e-002,-3.574640e+001,2020-06-23T17:02:12.604000,Normal,
10,0.000000e+000,1.633008e-002,-3.574023e+001,2020-06-23T17:02:12.654000,Normal,
11,0.000000e+000,1.633008e-002,-3.574023e+001,2020-06-23T17:02:12.704000,Normal,
12,0.000000e+000,1.647401e-002,-3.566401e+001,2020-06-23T17:02:12.754000,Normal,
13,0.000000e+000,1.647401e-002,-3.566401e+001,2020-06-23T17:02:12.804000,Normal,
14,0.000000e+000,1.660803e-002,-3.559364e+001,2020-06-23T17:02:12.854000,Normal,
15,0.000000e+000,1.660803e-002,-3.559364e+001,2020-06-23T17:02:12.904000,Normal,
16,0.000000e+000,1.660476e-002,-3.559535e+001,2020-06-23T17:02:12.954000,Normal,
17,0.000000e+000,1.660476e-002,-3.559535e+001,2020-06-23T17:02:13.003000,Normal,
18,0.000000e+000,1.651634e-002,-3.564173e+001,2020-06-23T17:02:13.053000,Normal,
19,0.000000e+000,1.651634e-002,-3.564173e+001,2020-06-23T17:02:13.104000,Normal,
20,0.000000e+000,1.649841e-002,-3.565116e+001,2020-06-23T17:02:13.153000,Normal,
21,0.000000e+000,1.649841e-002,-3.565116e+001,2020-06-23T17:02:13.204000,Normal,
22,0.000000e+000,1.660528e-002,-3.559507e+001,2020-06-23T17:02:13.253000,Normal,
23,0.000000e+000,1.660528e-002,-3.559507e+001,2020-06-23T17:02:13.304000,Normal,
24,0.000000e+000,1.678727e-002,-3.550040e+001,2020-06-23T17:02:13.353000,Normal,
25,0.000000e+000,1.678727e-002,-3.550040e+001,2020-06-23T17:02:13.403000,Normal,
26,0.000000e+000,1.697212e-002,-3.540528e+001,2020-06-23T17:02:13.454000,Normal,
27,0.000000e+000,1.697212e-002,-3.540528e+001,2020-06-23T17:02:13.503000,Normal,
28,0.000000e+000,1.709427e-002,-3.534299e+001,2020-06-23T17:02:13.554000,Normal,
29,0.000000e+000,1.709427e-002,-3.534299e+001,2020-06-23T17:02:13.603000,Normal,
30,0.000000e+000,1.715638e-002,-3.531149e+001,2020-06-23T17:02:13.654000,Normal,
31,0.000000e+000,1.715638e-002,-3.531149e+001,2020-06-23T17:02:13.703000,Normal,
32,0.000000e+000,1.716367e-002,-3.530780e+001,2020-06-23T17:02:13.753000,Normal,
33,0.000000e+000,1.716367e-002,-3.530780e+001,2020-06-23T17:02:13.803000,Normal,
